公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
誠美材,光電業,僅母公司,產能(仟米平方),N,僅母公司,N,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,ISO 14064,產能(仟米平方),僅母公司,僅母公司,僅母公司,產能(仟米平方),ISO 14001,4960.0,977.0,771.0,734.0,721.0,0.1111,10.0,0.0095,427801.0,13.735,2.0,0.0182,15888.57,31082.04,137861.46,1.536,8.0,3.0,0.0,0.0,0.8762,1.0,903.0,3111.0,4014.0,0.129
佳凌,光電業,,,N,,N,,N,,N,,N,,,,,,ISO 14001,4976.0,629.0,530.0,550.0,523.0,0.22,4.0,0.0023,279202.5,11.3437,1.0,0.0091,8083.8829,16334.550000000001,70625.04,1.2428,9.0,3.0,1.0,0.1111,0.9778,0.7778,544.8905,1690.144,2235.0345,0.3196
達興材料,光電業,所有生產廠區,百萬元營業額,N,所有生產廠區,N,包含達興材料所有生產廠區排放量(中科廠及中港廠),ISO 14064,包含達興材料所有生產廠區排放量(中科廠及中港廠),ISO 14064,包含達興材料所有生產廠區排放量(中科廠及中港廠),ISO 14064,百萬元營業額,所有生產廠區,所有生產廠區,所有生產廠區,百萬元營業額,N,5234.0,1695.0,1496.0,1408.0,1102.0,0.2444,1.0,0.0026,119001.0,30.6,1.0,0.0,1448.33,5892.61,12847.01,1.8876,9.0,3.0,0.0,0.0,0.97,1.0,593.0,219.0,812.0,0.21
乙盛-KY,光電業,,,N,,N,,N,,N,,N,,,,,,N,5243.0,1782.0,1588.5,1313.0,1029.0,0.1373,1.0,0.0003,60816.5,19.776200000000003,2.0,0.0091,863.7629,18487.325,75354.235,1.4186,7.0,3.0,0.0,0.0,0.9429,1.0,296.5,109.575,406.075,0.3601
弘凱,光電業,,,N,,N,,N,,N,,N,,,,,,N,5244.0,1869.0,1681.0,1218.0,956.0,0.25,0.0,0.0,62629.5,16.708550000000002,1.0,0.013,770.7179,20483.34,43553.865,8.8592,9.0,4.0,0.0,0.0,0.965,0.8889,325.425,2981.73,407.42,0.10565
慧友,光電業,母公司111年用水量,百萬元營業額,N,,N,母公司111年度直接溫室氣體排放量,N,,N,,N,百萬元營業額,母公司111年存貨報廢的重量,母公司111年存貨報廢的重量,母公司111年存貨報廢的重量,百萬元營業額,N,5484.0,827.0,676.0,668.0,589.0,0.2333,0.0,0.0,2632.0,8.9524,1.0,0.0,279.1958,18038.105,1861.45725,0.9496,7.0,3.0,1.0,0.1429,0.9796,0.8571,0.0,0.15,0.15,0.5102
彩晶,光電業,母公司及子公司(南京瀚宇彩欣科技有限責任公司),百萬元營業額,N,,ISO 50001,母公司及子公司(南京瀚宇彩欣科技有限責任公司),ISO 14064,母公司及子公司(南京瀚宇彩欣科技有限責任公司),ISO 14064,母公司的南科廠及內湖營業所經DNV查證,ISO 14064,百萬元營業額,母公司及子公司(南京瀚宇彩欣科技,母公司及子公司(南京瀚宇彩欣科技,母公司及子公司(南京瀚宇彩欣科技,百萬元營業額,N,6116.0,873.0,737.0,828.0,726.0,0.1745,39.0,0.011,5178960.0,303.74,2.0,0.77625,59101.22,284941.46,92467.12,20.18,7.0,3.0,4.0,0.57,1.0,1.0,3929.34,7575.93,11505.27,0.67
達運,光電業,包含本公司及合併財務報表內子公司,百萬元營業額,N,包含本公司及合併財務報表內子公司,N,包含本公司及合併財務報表內子公司,N,包含本公司及合併財務報表內子公司,N,,N,百萬元營業額,包含本公司及合併財務報表內子公司,包含本公司及合併財務報表內子公司,包含本公司及合併財務報表內子公司,百萬元營業額,N,6120.0,1366.0,1163.0,863.0,754.0,0.18,3.0,0.005,93.2,0.006,1.0,0.0533,3285.0,61930.0,1861.45725,4.51,7.0,3.0,1.0,0.1429,1.0,1.0,223.0,5362.0,5585.0,0.39
華興,光電業,202201~202212,,N,,N,,N,,N,,N,,,,,,N,6164.0,1123.0,962.0,630.0,578.0,0.3125,0.0,0.0,2039.0,4.4792000000000005,1.0,0.02665,1782.0979,44630.55,502410.07224999997,2.7298,11.0,4.0,1.0,0.0909,0.9426,1.0,111.5,2681.075,2792.575,0.4501
宏齊,光電業,母公司,千元營業額,N,,N,母公司,N,母公司,N,母公司,N,千元營業額,母公司,母公司,母公司,千元營業額,ISO 14001,6168.0,897.0,764.0,779.0,675.0,0.2927,0.0,0.0,49488.2,0.0219,2.0,0.11405,71.0264,9348.98,5777.74,0.0042,7.0,3.0,0.0,0.0,0.9762,1.0,4.212,86.7034,90.9154,0.0
瑞儀,光電業,台灣與中國大陸製造廠區,原物料塑膠粒投料量(公斤),N,台灣與中國大陸製造廠區,N,台灣與中國大陸製造廠區,ISO 14064,台灣與中國大陸製造廠區,ISO 14064,台灣與中國大陸製造廠區,ISO 14064,原物料塑膠粒投料量(公斤),台灣與中國大陸製造廠區,台灣與中國大陸製造廠區,台灣與中國大陸製造廠區,產品塑膠粒投料量(公斤),ISO 14001,6176.0,1921.0,1734.0,1445.0,1043.0,0.1991,11.0,0.0118,1663000.0,0.1995,4.0,0.026,2633.44,104970.61,74260.72,0.0129,10.0,4.0,1.0,0.1,0.99,1.0,57.85,5744.46,5802.31,0.0007
