,Unnamed: 0,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG_ByPR
547,592,4916,事欣科,電腦及週邊設備業,79,79,0,79,99,77,77,0,73,31,0,0,0,37,57,67,61,0,47,0,0,0,43,19,65,51,39
548,593,4938,和碩,電腦及週邊設備業,67,59,75,17,19,7,33,0,57,89,29,0,0,31,39,0,57,43,35,0,0,0,31,17,43,40,32
549,594,5215,科嘉-KY,電腦及週邊設備業,31,25,43,53,81,3,13,0,29,33,51,0,0,39,9,17,55,67,19,0,0,0,9,12,28,45,29
550,595,5258,虹堡,電腦及週邊設備業,0,0,3,87,0,75,75,43,33,57,49,27,43,35,17,65,53,97,39,93,35,39,11,39,40,52,45
551,596,6117,迎廣,電腦及週邊設備業,0,0,0,95,61,11,0,41,9,37,63,19,39,81,3,63,39,0,77,57,77,47,5,40,18,46,37
552,597,6128,上福,電腦及週邊設備業,0,0,0,97,11,31,7,55,99,39,79,91,65,69,99,11,0,0,17,83,27,33,97,72,22,13,42
553,598,6166,凌華,電腦及週邊設備業,49,49,55,19,45,43,41,65,79,51,77,41,45,95,91,31,49,0,23,33,87,79,95,72,43,33,52
554,599,6206,飛捷,電腦及週邊設備業,9,13,27,67,71,73,73,69,5,49,73,65,61,45,89,61,47,21,0,85,51,57,93,63,44,42,52
555,600,6230,尼得科超眾,電腦及週邊設備業,0,0,0,93,21,9,0,73,81,35,69,47,47,63,47,87,0,15,7,95,49,55,83,64,17,28,43
556,601,6235,華孚,電腦及週邊設備業,61,67,33,65,43,71,71,57,59,29,35,55,49,59,41,19,45,35,31,37,55,63,0,46,61,34,46
557,602,6277,宏正,電腦及週邊設備業,45,47,57,27,13,41,29,51,47,83,75,57,55,57,29,7,43,41,9,87,47,53,63,56,41,33,45
558,603,6414,樺漢,電腦及週邊設備業,63,61,61,7,13,69,69,89,0,77,7,93,91,53,0,77,41,19,79,35,81,45,0,45,55,51,49
559,604,6579,研揚,電腦及週邊設備業,19,31,35,47,7,29,1,85,0,59,9,67,95,49,0,0,59,75,25,31,63,71,0,43,27,38,38
560,605,6591,動力-KY,電腦及週邊設備業,25,33,51,33,0,67,67,39,0,53,33,73,41,21,0,79,77,71,69,21,37,43,0,28,46,58,41
561,606,6669,緯穎,電腦及週邊設備業,33,37,69,21,39,17,15,33,3,43,83,75,33,15,81,21,81,3,73,17,29,31,59,42,32,43,38
562,607,8114,振樺電,電腦及週邊設備業,0,0,0,89,97,39,9,63,0,71,71,45,69,47,0,13,67,1,55,79,95,91,75,58,23,51,45
563,608,8163,達方,電腦及週邊設備業,51,55,63,25,25,37,19,5,1,61,47,3,7,29,1,9,83,29,51,1,25,23,29,16,42,43,30
564,609,8210,勤誠,電腦及週邊設備業,81,81,81,31,15,91,91,29,95,85,0,43,29,0,95,97,85,0,65,25,11,15,91,39,76,58,49
565,610,9912,偉聯,電腦及週邊設備業,57,57,19,55,3,61,61,13,23,3,37,13,9,17,5,55,13,0,99,9,21,21,41,19,52,29,28
566,611,2302,麗正,半導體業,29,29,27,99,99,99,99,71,34,41,99,55,99,99,45,99,20,20,21,51,97,70,22,67,64,50,61
567,612,2303,聯電,半導體業,63,63,61,63,52,30,47,23,32,80,36,21,22,24,39,43,96,35,71,22,26,25,46,29,54,63,44
568,613,2329,華泰,半導體業,26,26,29,91,95,26,36,36,98,38,39,54,37,23,96,90,51,80,24,42,35,36,97,54,39,63,54
569,614,2330,台積電,半導體業,79,80,88,35,54,22,46,21,27,75,25,20,20,22,40,27,99,64,80,20,20,20,34,24,58,66,47
570,615,2337,旺宏,半導體業,64,64,74,49,84,51,49,31,36,78,64,23,29,28,37,20,80,47,42,26,32,30,41,34,58,58,46
571,616,2338,光罩,半導體業,59,59,56,68,69,45,27,70,62,37,63,77,58,67,66,92,23,43,82,65,72,64,82,68,52,58,62
572,617,2340,台亞,半導體業,47,48,48,72,93,44,38,37,26,65,42,46,47,61,34,82,50,77,32,39,39,45,42,42,50,66,51
573,618,2342,茂矽,半導體業,37,37,39,78,96,31,42,44,37,36,41,22,43,76,60,42,49,59,40,36,67,49,57,48,44,54,49
574,619,2344,華邦電,半導體業,76,77,84,33,51,61,54,29,87,60,62,28,28,27,89,26,82,41,85,28,33,32,65,46,64,58,53
575,620,2351,順德,半導體業,30,30,31,87,57,43,39,38,20,88,37,49,50,44,91,41,83,75,59,32,45,42,52,45,43,67,51
576,621,2363,矽統,半導體業,53,54,54,65,44,46,25,63,50,35,61,74,71,83,74,62,48,33,34,64,52,62,60,65,50,43,55
577,622,2369,菱生,半導體業,25,25,25,95,62,60,58,42,86,34,43,50,39,42,32,40,47,73,88,46,40,44,44,46,48,57,51
578,623,2379,瑞昱,半導體業,95,95,95,24,49,57,52,59,54,73,60,82,54,85,27,29,46,65,65,58,76,72,23,59,70,54,62
579,624,2388,威盛,半導體業,73,67,65,48,78,47,28,66,70,33,52,76,77,79,58,72,45,48,44,57,62,73,83,68,55,53,60
580,625,2401,凌陽,半導體業,56,56,59,57,79,65,64,61,30,56,58,91,68,84,25,71,86,71,75,68,60,61,37,58,60,73,63
581,626,2408,南亞科,半導體業,62,62,68,53,90,64,65,28,59,99,33,26,27,26,59,22,44,44,45,23,28,27,66,37,62,57,48
582,627,2434,統懋,半導體業,24,23,21,97,38,63,66,55,23,32,20,38,61,89,69,69,43,21,20,86,91,79,48,60,49,37,52
583,628,2436,偉詮電,半導體業,57,57,60,54,41,62,51,99,97,62,57,93,83,49,64,67,21,53,94,90,89,88,84,81,57,56,67
584,629,2441,超豐,半導體業,44,45,46,74,48,32,40,39,21,54,56,57,35,40,42,44,42,82,37,35,37,40,43,40,47,51,48
585,630,2449,京元電子,半導體業,31,31,38,82,88,25,34,27,22,93,55,35,25,38,21,38,41,98,96,34,36,35,20,32,40,76,49
586,631,2451,創見,半導體業,33,32,37,83,60,27,23,62,66,31,54,80,69,81,65,37,40,34,29,67,58,56,69,66,39,38,51
587,632,2454,聯發科,半導體業,98,97,99,22,40,59,63,49,43,77,53,43,40,70,41,61,39,97,70,37,48,58,68,50,73,64,60
588,633,2458,義隆,半導體業,70,71,77,37,68,58,62,64,45,82,48,68,74,78,92,36,94,96,99,69,59,67,55,65,62,79,68
589,634,2481,強茂,半導體業,38,38,35,86,94,25,21,52,40,89,32,53,53,65,47,70,37,95,26,47,63,52,56,51,40,68,55
590,635,3006,晶豪科,半導體業,94,94,97,20,39,56,60,65,78,53,49,71,73,94,75,60,52,94,66,80,87,77,85,76,70,61,70
591,636,3014,聯陽,半導體業,86,87,93,26,54,55,59,73,47,51,45,67,80,98,48,78,36,32,78,74,68,57,24,62,68,55,59
592,637,3016,嘉晶,半導體業,42,39,47,71,82,40,31,47,57,30,31,45,41,77,56,30,29,55,31,62,70,59,79,57,45,43,52
593,638,3034,聯詠,半導體業,97,98,98,21,47,54,57,57,79,79,51,62,57,88,76,63,35,54,64,54,73,63,86,68,71,57,64
594,639,3035,智原,半導體業,75,75,80,41,66,53,56,67,60,83,47,81,72,80,57,34,34,36,55,66,57,78,77,67,63,51,59
595,640,3041,揚智,半導體業,74,74,72,44,59,52,55,91,91,66,50,92,82,50,87,95,33,40,62,91,88,71,87,80,62,59,70
596,641,3094,聯傑,半導體業,52,51,51,64,62,66,53,81,49,29,46,84,94,64,51,91,31,45,91,72,54,85,62,67,56,58,60
597,642,3189,景碩,半導體業,32,33,32,89,68,23,29,26,68,98,35,31,32,32,81,33,30,56,57,25,31,29,73,42,40,57,45
598,643,3257,虹冠電,半導體業,65,65,57,60,59,68,61,92,28,28,65,94,96,47,26,83,22,28,90,89,90,87,40,69,63,52,60
599,644,3413,京鼎,半導體業,51,52,53,66,34,69,68,35,56,86,59,47,34,37,54,84,88,29,30,81,34,37,63,49,60,58,55
600,645,3443,創意,半導體業,87,86,83,34,34,98,69,68,88,97,67,73,67,91,62,32,97,86,35,87,66,89,92,77,76,64,72
601,646,3450,聯鈞,半導體業,28,24,28,90,86,34,26,60,39,27,84,72,60,82,28,86,28,49,68,88,74,68,25,62,38,57,53
602,647,3530,晶相光,半導體業,89,90,64,61,58,97,98,78,89,47,98,78,75,68,53,96,27,38,67,77,71,95,67,77,83,56,70
603,648,3532,台勝科,半導體業,48,50,55,59,42,96,97,30,84,48,97,42,31,29,83,28,26,63,87,75,29,33,64,54,68,49,55
604,649,3545,敦泰,半導體業,88,88,92,31,36,95,96,98,92,81,96,85,85,46,49,88,93,50,86,79,85,90,58,78,82,72,74
605,650,3583,辛耘,半導體業,43,43,41,75,73,41,30,53,24,67,34,56,63,71,20,45,25,37,76,55,47,55,21,45,46,54,48
606,651,3588,通嘉,半導體業,71,73,67,46,64,94,95,85,69,22,94,88,87,63,63,97,71,92,56,96,83,93,90,83,74,67,75
607,652,3592,瑞鼎,半導體業,99,99,78,42,46,93,94,83,85,26,93,36,64,58,44,77,24,85,84,84,80,82,36,68,84,57,69
608,653,3661,世芯-KY,半導體業,84,79,40,81,61,92,93,24,80,87,24,27,23,21,84,76,32,88,79,24,25,26,35,36,78,70,57
609,654,3686,達能,半導體業,49,49,36,84,70,91,92,93,99,25,92,99,95,48,98,98,38,39,77,99,99,92,94,92,67,58,74
610,655,3711,日月光投控,半導體業,93,92,45,77,97,90,91,22,72,91,23,25,21,20,80,21,53,69,54,21,24,24,33,33,81,64,54
611,656,4919,新唐,半導體業,60,60,66,55,54,36,50,48,42,74,91,29,46,72,94,31,89,62,33,33,64,46,53,56,54,57,55
612,657,4952,凌通,半導體業,80,81,86,28,63,89,90,80,67,24,90,79,88,86,68,80,55,46,89,73,53,83,75,77,76,60,71
613,658,4961,天鈺,半導體業,83,83,85,36,77,88,89,82,82,95,89,96,89,66,85,65,73,30,49,98,75,69,76,82,77,65,75
614,659,4967,十銓,半導體業,27,28,26,94,50,87,88,58,44,23,88,75,70,33,55,66,74,31,97,48,86,65,51,61,58,57,59
615,660,4968,立積,半導體業,55,55,62,58,37,86,87,95,53,71,87,66,91,51,78,68,81,52,92,82,78,76,95,77,67,67,72
616,661,5222,全訊,半導體業,36,35,34,79,34,85,86,72,52,58,86,86,78,95,52,24,84,67,74,60,82,75,61,73,59,57,65
617,662,5269,祥碩,半導體業,91,91,89,30,49,84,85,89,41,39,85,83,92,43,36,74,78,83,63,76,92,80,26,68,78,64,70
618,663,5285,界霖,半導體業,23,27,22,93,95,49,32,56,25,59,22,37,65,87,29,79,77,76,83,44,94,60,54,52,41,78,57
619,664,5471,松翰,半導體業,72,72,81,32,56,83,84,86,96,90,83,70,90,53,67,39,76,81,52,85,79,94,88,81,71,66,75
620,665,6202,盛群,半導體業,77,76,79,38,74,82,83,69,63,70,68,90,79,92,70,46,75,72,51,61,56,81,78,73,72,65,71
621,666,6239,力成,半導體業,40,42,42,76,85,29,44,32,38,69,82,30,26,30,38,23,92,68,50,29,30,31,47,38,46,64,49
622,667,6243,迅杰,半導體業,58,58,52,62,43,21,82,94,75,85,81,65,97,54,72,58,72,74,38,70,55,98,96,78,56,62,69
623,668,6257,矽格,半導體業,35,36,33,88,80,33,35,96,76,40,80,64,38,55,88,57,79,78,95,49,65,54,38,64,43,72,62
624,669,6271,同欣電,半導體業,39,40,43,85,81,24,22,41,29,84,38,33,42,34,43,59,70,26,61,53,41,41,45,40,42,64,47
625,670,6415,矽力*-KY,半導體業,68,70,69,50,53,81,81,74,35,96,79,98,66,93,30,87,69,79,27,95,50,50,32,64,70,68,67
626,671,6451,訊芯-KY,半導體業,69,68,70,51,75,80,80,46,58,44,27,61,49,73,22,85,68,89,28,50,81,66,27,51,70,65,61
627,672,6515,穎崴,半導體業,41,41,44,73,74,79,79,79,46,57,78,39,62,35,33,54,91,99,58,63,44,48,29,51,60,72,60
628,673,6525,捷敏-KY,半導體業,92,93,94,25,98,42,41,54,90,42,77,97,45,96,90,53,90,25,47,38,21,21,59,63,64,59,61
629,674,6531,愛普*,半導體業,90,89,90,29,89,78,78,50,65,68,29,40,52,75,23,93,67,42,46,40,22,23,31,41,76,68,57
630,675,6533,晶心科,半導體業,45,44,73,45,57,77,77,90,81,52,76,60,44,56,79,75,66,91,98,56,49,99,91,71,60,73,70
631,676,6552,易華電,半導體業,20,20,20,98,76,76,76,45,94,46,28,59,56,97,99,64,65,84,69,30,69,39,98,65,52,67,63
632,677,6573,虹揚-KY,半導體業,67,69,71,52,59,75,75,84,77,63,21,32,59,62,71,52,87,23,39,71,61,53,39,57,68,54,58
633,678,6719,力智,半導體業,78,78,75,43,35,74,74,77,71,49,75,95,84,60,77,51,64,87,72,93,96,86,81,81,70,60,73
634,679,6756,威鋒電子,半導體業,81,82,87,40,67,73,73,88,55,50,74,63,86,52,50,50,63,57,93,83,95,96,72,74,73,63,70
635,680,6770,力積電,半導體業,61,61,63,56,55,38,48,25,31,94,73,24,24,36,95,49,95,90,73,27,27,28,70,42,54,76,55
636,681,6789,采鈺,半導體業,54,53,58,67,70,72,72,20,51,21,26,34,48,41,93,94,62,22,53,31,42,38,49,43,63,54,52
637,682,6799,來頡,半導體業,82,84,82,39,65,71,71,97,83,20,72,69,98,57,86,73,61,93,48,78,84,97,28,77,72,60,72
638,683,8016,矽創,半導體業,96,96,96,23,83,50,33,51,64,92,30,41,51,74,24,48,85,60,81,41,23,22,30,41,66,75,56
639,684,8028,昇陽半導體,半導體業,34,34,30,80,92,28,24,43,61,64,40,44,55,45,82,56,60,58,36,43,38,43,74,52,38,61,51
640,685,8081,致新,半導體業,85,85,91,27,72,70,70,75,73,72,71,89,81,90,73,81,59,24,25,92,93,84,80,82,71,56,71
641,686,8110,華東,半導體業,22,22,24,96,91,37,37,40,95,45,44,48,36,31,97,55,58,70,22,94,43,47,93,61,40,57,56
642,687,8131,福懋科,半導體業,21,21,23,92,45,48,45,33,74,61,70,51,33,25,31,25,57,66,23,45,51,51,89,50,42,46,48
643,688,8150,南茂,半導體業,46,46,49,69,71,35,43,34,33,76,69,52,30,39,35,47,98,27,41,52,46,34,50,43,48,60,48
644,689,8261,富鼎,半導體業,66,66,76,47,59,39,20,87,48,43,95,87,93,59,46,89,56,51,60,97,98,91,71,79,52,60,65
645,690,8271,宇瞻,半導體業,50,47,50,70,87,67,67,76,93,55,66,58,76,69,61,35,54,61,43,59,77,74,99,73,58,56,63
646,691,2312,金寶,其他電子業,87,87,77,47,79,55,49,29,27,53,99,55,55,69,35,21,93,75,27,99,49,51,39,55,67,58,59
647,692,2317,鴻海,其他電子業,97,97,97,23,69,23,53,21,35,89,33,21,21,21,43,27,65,69,25,21,21,21,27,26,65,57,46
648,693,2354,鴻準,其他電子業,99,99,99,21,27,69,67,95,99,23,63,33,23,67,99,99,57,79,23,23,29,25,99,60,76,51,64
649,694,2359,所羅門,其他電子業,53,49,63,57,71,41,33,67,41,25,53,49,65,61,59,63,21,61,77,57,85,61,31,57,49,53,53
650,695,2360,致茂,其他電子業,71,73,83,41,49,27,29,37,91,95,49,23,37,51,95,59,55,77,79,33,35,35,53,49,54,69,55
651,696,2373,震旦行,其他電子業,35,25,41,79,51,65,63,45,83,75,65,43,61,89,93,55,53,39,81,85,59,65,97,71,51,59,61
652,697,2390,云辰,其他電子業,91,91,75,33,37,63,57,35,29,27,55,29,63,57,47,57,51,25,71,37,37,59,49,45,68,45,49
653,698,2404,漢唐,其他電子業,85,85,93,25,43,37,43,33,31,29,57,31,43,59,49,39,49,47,73,39,39,41,47,43,61,47,49
654,699,2423,固緯,其他電子業,61,61,69,53,33,57,59,65,45,77,67,41,73,35,53,35,47,67,59,71,95,97,37,62,60,53,60
655,700,2433,互盛電,其他電子業,33,31,37,77,35,59,61,71,85,79,69,57,99,85,91,61,45,57,63,91,99,99,93,85,50,57,67
656,701,2459,敦吉,其他電子業,77,79,73,43,27,61,65,79,53,31,71,93,91,27,85,33,43,83,61,59,83,89,67,72,66,46,66
657,702,2461,光群雷,其他電子業,45,45,47,71,83,43,25,69,37,33,73,97,59,81,37,65,59,27,97,73,97,49,29,64,46,61,56
658,703,2464,盟立,其他電子業,73,71,85,45,41,67,69,41,47,35,51,27,47,55,57,97,29,31,43,35,45,43,35,44,68,46,50
659,704,2474,可成,其他電子業,23,23,33,89,75,27,37,23,79,99,77,25,25,75,89,67,41,87,51,25,23,23,87,50,39,70,56
660,705,2477,美隆電,其他電子業,41,41,49,73,61,51,41,81,57,37,79,87,83,25,81,25,39,73,53,49,73,79,65,69,49,48,59
661,706,2482,連宇,其他電子業,39,39,43,85,77,47,31,75,55,39,81,91,81,31,83,71,37,99,55,97,93,95,71,78,47,63,68
662,707,2488,漢平,其他電子業,31,33,45,75,99,73,73,73,49,41,83,95,95,79,75,23,35,91,87,51,77,83,73,76,55,63,67
663,708,3018,隆銘綠能,其他電子業,37,37,31,87,93,75,75,59,51,43,43,83,75,63,51,53,31,43,33,53,75,81,69,64,57,49,59
664,709,3030,德律,其他電子業,79,77,87,31,39,33,35,63,81,83,87,51,71,41,55,29,61,71,89,87,53,55,89,67,57,62,62
665,710,3043,科風,其他電子業,25,27,21,99,55,99,99,25,59,45,41,35,29,65,79,95,77,37,21,29,25,27,75,44,62,55,52
666,711,3305,昇貿,其他電子業,43,43,27,93,73,79,79,53,89,51,37,73,69,83,71,75,63,59,49,43,71,77,55,66,61,62,63
667,712,3518,柏騰,其他電子業,83,83,61,55,67,53,21,31,39,47,35,39,31,53,39,31,89,95,47,31,31,31,33,36,59,63,50
668,713,3617,碩天,其他電子業,65,65,71,51,89,81,81,57,63,49,45,45,97,73,87,77,87,55,95,55,57,63,85,66,69,75,69
669,714,3665,貿聯-KY,其他電子業,47,51,35,83,91,25,51,27,33,97,31,37,27,71,41,93,23,49,65,27,27,29,41,36,49,70,48
670,715,5225,東科-KY,其他電子業,51,47,53,67,59,83,83,49,23,69,29,79,45,47,27,79,99,97,83,47,43,45,23,42,64,81,58
671,716,6139,亞翔,其他電子業,29,29,25,95,45,45,39,93,65,55,75,69,87,29,63,49,85,63,35,69,81,93,45,70,44,55,61
672,717,6192,巨路,其他電子業,81,81,81,39,57,49,47,91,73,87,27,81,49,45,29,81,27,51,41,95,67,73,79,64,63,57,63
673,718,6196,帆宣,其他電子業,89,89,95,27,53,85,85,39,21,85,25,67,39,87,25,45,83,45,85,65,89,39,21,47,78,66,60
674,719,6201,亞弘電,其他電子業,27,35,29,91,31,35,55,61,43,63,59,47,67,33,45,83,81,53,93,67,69,75,51,56,45,67,57
675,720,6215,和椿,其他電子業,67,67,79,37,29,87,87,97,61,65,97,99,93,91,73,85,91,89,45,93,87,87,63,86,71,67,77
676,721,6283,淳安,其他電子業,63,63,65,59,97,89,89,87,75,67,95,77,79,49,31,41,79,21,37,89,61,71,77,72,71,57,66
677,722,6409,旭隼,其他電子業,93,93,91,29,87,31,45,99,77,93,21,59,33,23,21,47,95,33,29,41,33,33,91,48,64,64,55
678,723,6438,迅得,其他電子業,69,69,67,49,35,91,91,77,97,81,93,89,89,37,65,87,75,81,91,75,51,53,95,75,73,75,75
679,724,6558,興能高,其他電子業,75,75,55,63,95,93,93,85,69,71,91,75,77,43,33,51,25,35,39,83,65,69,81,70,76,53,65
680,725,6691,洋基工程,其他電子業,95,95,89,35,47,29,23,51,25,73,23,65,35,39,23,89,73,85,31,45,41,37,25,37,61,66,53
681,726,6698,旭暉應材,其他電子業,21,21,23,97,85,95,95,43,87,61,85,53,51,99,67,43,97,23,57,81,91,91,61,74,59,61,64
682,727,6743,安普新,其他電子業,59,59,59,65,65,39,27,83,71,59,61,71,57,93,77,37,71,65,67,79,63,67,83,73,51,61,64
683,728,8021,尖點,其他電子業,49,57,39,81,63,97,97,55,93,91,39,63,41,95,97,91,69,41,69,77,47,47,59,65,70,71,66
684,729,8201,無敵,其他電子業,57,53,57,61,81,77,77,89,67,57,89,85,85,77,61,73,67,93,75,61,79,85,43,75,64,74,71
685,730,8499,鼎炫-KY,其他電子業,55,55,51,69,93,71,71,47,95,21,47,61,53,97,69,69,33,29,99,63,55,57,57,64,62,57,59
686,731,2314,台揚,通信網路業,37,37,43,75,43,99,99,93,75,49,99,99,41,77,27,83,81,37,65,51,65,67,45,67,65,60,64
687,732,2321,東訊,通信網路業,39,39,41,71,35,61,61,67,21,43,65,75,65,63,49,51,23,27,47,67,91,91,25,62,52,38,53
688,733,2332,友訊,通信網路業,75,79,89,27,97,39,27,75,39,71,63,57,63,75,43,43,45,83,31,95,87,87,71,69,56,62,63
689,734,2345,智邦,通信網路業,67,71,83,61,73,29,35,37,71,23,47,39,37,41,69,57,95,53,29,55,29,27,69,47,58,55,50
690,735,2412,中華電,通信網路業,97,47,97,19,57,17,37,17,45,89,19,17,17,17,33,21,93,77,69,37,27,19,57,28,52,68,43
691,736,2419,仲琦,通信網路業,89,91,77,35,67,59,59,43,19,25,43,79,77,71,51,31,43,29,81,27,47,37,31,48,68,46,50
692,737,2424,隴華,通信網路業,41,43,23,89,67,57,55,77,29,27,59,81,49,55,31,37,91,65,45,57,79,73,29,56,51,55,56
693,738,2439,美律,通信網路業,77,63,53,65,89,55,53,21,35,91,17,45,31,53,65,39,41,67,97,45,39,31,73,41,61,71,52
694,739,2444,兆勁,通信網路業,17,17,17,97,27,53,57,59,81,17,53,31,71,67,41,97,39,19,61,63,95,89,75,66,43,43,52
695,740,2450,神腦,通信網路業,27,25,27,83,77,43,45,95,79,77,55,55,89,69,55,29,37,87,87,71,81,77,51,71,42,66,64
696,741,2455,全新,通信網路業,95,97,95,43,47,35,25,35,17,97,37,51,33,57,17,23,35,69,55,25,69,43,17,36,65,54,50
697,742,2485,兆赫,通信網路業,21,21,21,95,63,21,21,45,91,29,61,25,73,33,93,19,47,89,17,17,17,17,93,51,33,44,49
698,743,2498,宏達電,通信網路業,73,75,91,23,71,41,43,33,73,19,31,59,39,47,57,61,33,45,43,49,45,39,21,45,58,45,50
699,744,3025,星通,通信網路業,65,65,75,45,97,63,63,31,69,31,27,27,23,23,77,99,17,31,93,77,35,29,85,46,63,61,56
700,745,3027,盛達,通信網路業,43,41,39,67,83,65,65,65,67,33,23,29,53,21,75,47,83,93,19,83,33,63,87,54,53,60,56
701,746,3045,台灣大,通信網路業,79,83,85,29,99,31,47,23,93,95,21,21,21,25,95,53,97,59,63,85,25,23,97,48,59,78,57
702,747,3047,訊舟,通信網路業,81,81,71,37,53,69,69,79,59,35,57,61,69,85,73,17,85,75,75,87,71,85,39,70,68,57,64
703,748,3062,建漢,通信網路業,85,85,81,21,33,71,71,81,95,37,69,49,75,87,97,59,89,25,53,89,77,83,43,77,69,49,66
704,749,3138,耀登,通信網路業,93,95,93,25,93,73,73,89,97,39,71,93,95,93,99,65,29,35,73,91,73,93,89,89,75,56,74
705,750,3311,閎暉,通信網路業,23,23,31,93,91,45,49,63,83,41,25,41,51,27,87,67,27,43,27,21,21,61,83,51,44,49,49
706,751,3380,明泰,通信網路業,45,45,55,49,65,67,67,49,77,83,67,69,45,19,83,63,25,21,95,47,49,59,81,59,55,59,56
707,752,3419,譁裕,通信網路業,55,55,47,63,59,75,75,91,85,47,73,87,67,91,63,25,51,73,99,97,61,65,65,77,62,59,66
708,753,3596,智易,通信網路業,99,99,99,17,51,77,77,29,87,85,45,47,29,45,89,49,21,97,33,29,31,25,95,50,78,56,60
709,754,3669,圓展,通信網路業,63,67,63,53,41,79,79,71,27,87,75,67,57,97,91,93,31,91,51,65,89,57,19,65,67,66,66
710,755,3694,海華,通信網路業,83,89,73,31,29,81,81,27,23,45,41,89,35,43,79,91,49,49,35,35,37,79,27,47,73,50,53
711,756,3704,合勤控,通信網路業,91,93,87,33,79,83,83,83,57,79,77,97,99,73,81,45,67,61,39,99,75,45,37,75,78,62,73
712,757,4904,遠傳,通信網路業,59,61,65,47,85,19,29,25,99,93,29,19,19,35,35,27,53,71,57,19,19,41,91,39,47,64,49
713,758,4906,正文,通信網路業,57,59,61,51,31,33,19,47,89,51,39,43,27,37,85,41,79,63,71,53,51,49,99,56,47,56,55
714,759,4977,眾達-KY,通信網路業,33,31,37,81,67,85,85,73,43,55,79,71,61,95,59,89,77,85,67,79,85,69,23,67,59,73,68
715,760,5388,中磊,通信網路業,47,51,57,77,49,37,39,41,37,81,51,77,47,31,67,87,75,33,91,43,41,33,35,46,51,69,55
716,761,6136,富爾特,通信網路業,61,69,51,57,95,87,87,99,61,59,81,63,93,89,25,85,73,47,37,75,83,97,63,75,69,66,71
717,762,6142,友勁,通信網路業,25,27,19,99,69,49,41,55,41,61,83,85,43,59,53,81,71,95,89,59,53,55,55,58,43,78,61
718,763,6152,百一,通信網路業,69,73,79,39,25,89,89,87,63,63,85,95,91,83,21,79,99,79,85,73,97,99,79,79,73,72,76
719,764,6216,居易,通信網路業,87,87,69,41,45,91,91,85,65,65,87,53,83,81,19,35,69,57,23,81,93,81,41,70,78,49,66
720,765,6285,啟碁,通信網路業,49,49,67,59,61,23,33,19,47,99,89,33,25,39,61,33,87,55,59,23,23,21,49,39,47,66,50
721,766,6416,瑞祺電通,通信網路業,35,33,35,79,75,51,51,97,55,67,91,65,79,79,23,77,65,51,83,69,99,95,77,75,47,70,66
722,767,6426,統新,通信網路業,29,29,29,91,23,93,93,57,49,69,93,83,55,61,39,75,63,41,49,61,63,75,67,64,61,53,61
723,768,6442,光聖,通信網路業,31,35,33,85,87,95,95,69,31,75,95,73,59,65,29,73,61,23,79,93,67,71,47,64,62,66,62
724,769,6674,鋐寶科技,通信網路業,71,77,59,55,55,97,97,39,25,57,49,91,81,29,71,71,59,39,25,33,43,35,33,48,76,51,58
725,770,6792,詠業,通信網路業,51,57,49,69,37,25,23,61,33,73,97,23,97,99,37,69,57,81,77,31,55,47,53,58,46,66,58
726,771,8011,台通,通信網路業,19,19,25,87,81,27,17,51,51,53,33,35,85,49,45,95,55,17,41,41,57,53,61,51,32,57,48
727,772,8101,華冠,通信網路業,53,53,45,73,39,47,31,53,53,21,35,37,87,51,47,55,19,99,21,39,59,51,59,52,50,42,50
728,773,2323,中環,光電業,0,0,0,73,57,5,0,0,67,1,19,0,0,7,73,11,89,0,0,49,37,45,47,31,13,26,26
729,774,2349,錸德,光電業,0,3,0,67,0,13,7,33,89,1,31,63,17,53,79,47,31,0,79,19,57,51,35,48,15,26,33
730,775,2374,佳能,光電業,73,71,77,0,47,67,51,75,63,23,59,65,95,77,63,9,27,53,57,71,75,71,61,70,56,36,56
731,776,2393,億光,光電業,33,35,39,51,81,7,1,93,59,79,61,31,9,75,1,9,93,51,19,31,23,29,11,38,28,55,40
732,777,2406,國碩,光電業,0,1,1,49,67,63,59,49,83,1,37,89,71,65,83,45,25,23,7,61,27,37,87,63,29,28,44
733,778,2409,友達,光電業,87,87,97,0,65,27,41,0,73,91,49,0,0,0,71,33,97,1,41,0,0,0,75,24,56,55,38
734,779,2426,鼎元,光電業,7,5,21,47,79,7,5,0,0,1,15,0,33,55,0,35,23,27,0,5,43,25,3,16,15,28,18
735,780,2429,銘旺科,光電業,0,0,0,99,0,41,0,97,79,1,65,55,31,0,15,37,0,49,35,79,61,61,25,52,23,20,39
