,Unnamed: 0,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG_ByPR
113,113,1525,江申,汽車工業,21,24,18,81,69,45,36,69,36,54,60,39,69,36,24,27,6,57,81,90,48,51,69,54,38,49,47
114,114,1533,車王電,汽車工業,12,15,24,90,9,57,57,96,21,12,33,18,84,39,0,63,18,72,78,72,93,96,12,51,42,42,45
115,115,1536,和大,汽車工業,45,39,48,33,33,6,15,24,27,57,21,21,6,18,18,3,21,15,21,66,63,48,15,30,31,25,27
116,116,1568,倉佑,汽車工業,24,9,12,75,81,27,12,72,42,15,39,75,45,42,15,57,24,60,24,45,24,30,33,42,26,44,38
117,117,1587,吉茂,汽車工業,27,27,9,69,87,54,54,51,96,60,66,30,87,45,39,75,27,81,39,0,0,0,6,38,40,62,45
118,118,2115,六暉-KY,汽車工業,81,81,84,12,99,66,66,15,51,18,3,9,21,15,51,15,30,0,57,33,12,12,78,27,65,36,37
119,119,2201,裕隆,汽車工業,78,78,72,21,60,69,69,12,45,93,0,12,24,90,54,18,33,54,27,54,9,9,75,35,64,48,45
120,120,2204,中華,汽車工業,84,84,87,9,54,36,45,21,54,87,18,6,18,0,48,9,36,27,96,21,15,15,81,27,58,52,40
121,121,2206,三陽工業,汽車工業,72,72,75,15,15,15,33,6,0,66,9,0,15,21,66,21,39,63,18,93,3,3,0,20,47,37,33
122,122,2207,和泰車,汽車工業,99,99,99,0,24,63,63,99,18,90,27,72,93,48,30,0,42,36,69,99,87,84,72,66,70,44,57
123,123,2227,裕日車,汽車工業,90,90,93,3,48,72,72,90,57,63,30,69,99,69,27,6,48,75,51,51,75,87,66,65,70,48,61
124,124,2228,劍麟,汽車工業,54,60,30,84,36,75,75,78,75,72,87,81,57,78,75,78,69,9,36,42,60,57,27,65,63,50,58
125,125,2231,為升,汽車工業,57,63,51,48,18,9,0,93,33,81,90,36,90,57,9,81,51,12,75,57,90,90,18,60,38,53,50
126,126,2233,宇隆,汽車工業,66,66,63,36,78,21,6,75,39,75,93,51,66,60,21,30,90,99,33,36,42,45,30,51,43,68,54
127,127,2236,百達-KY,汽車工業,42,51,33,63,75,39,39,66,99,21,96,99,75,63,99,84,87,33,54,60,57,72,42,75,44,59,63
128,128,2239,英利-KY,汽車工業,60,54,60,42,9,78,78,45,72,24,69,84,51,9,87,87,84,30,9,27,36,33,60,52,62,40,53
129,129,2241,艾姆勒,汽車工業,48,36,54,45,72,12,9,30,63,96,36,78,39,66,69,90,81,45,84,18,30,27,90,50,34,78,53
130,130,2243,宏旭-KY,汽車工業,63,57,57,39,39,81,81,48,78,42,81,87,48,6,84,93,78,42,3,30,33,39,54,53,63,50,54
131,131,2247,汎德永業,汽車工業,75,75,78,24,30,3,30,39,90,30,78,63,30,51,60,96,75,6,66,63,66,75,48,60,48,50,54
132,132,2250,IKKA-KY,汽車工業,69,69,69,30,93,84,84,36,69,33,75,90,54,3,81,42,93,87,87,24,39,36,63,52,68,72,62
133,133,2497,怡利電,汽車工業,36,42,42,51,12,87,87,81,81,45,72,93,60,81,78,45,72,66,12,48,78,93,51,74,58,42,62
134,134,3346,麗清,汽車工業,87,87,81,27,21,90,90,87,30,78,63,96,96,72,6,48,66,24,45,75,96,99,36,69,77,47,65
135,135,4551,智伸科,汽車工業,96,96,96,6,90,93,93,9,93,99,15,33,3,93,96,60,63,51,90,6,21,18,99,44,80,76,62
136,136,4557,永新-KY,汽車工業,93,93,90,18,9,24,21,18,87,39,51,48,12,84,90,51,60,84,30,15,45,42,96,53,56,46,54
137,137,4581,光隆精密-KY,汽車工業,30,30,27,57,57,96,96,60,84,36,42,60,78,54,72,54,57,18,60,96,84,81,93,73,56,47,61
138,138,6288,聯嘉,汽車工業,51,48,66,87,66,42,3,54,3,84,84,54,42,87,33,24,54,21,93,39,81,69,3,50,50,57,50
139,139,6605,帝寶,汽車工業,9,12,21,60,42,18,42,57,6,0,99,57,63,12,42,72,0,3,63,84,72,66,9,52,27,30,40
140,185,1402,遠東新,紡織纖維,95,95,95,21,55,19,45,19,71,97,37,19,19,19,87,23,77,41,41,21,19,19,59,35,62,56,47
141,186,1409,新纖,紡織纖維,81,85,89,37,31,41,57,35,79,37,57,29,21,55,19,25,55,69,63,61,53,59,49,47,65,47,50
142,187,1410,南染,紡織纖維,35,47,37,53,87,73,65,63,51,75,67,39,51,33,49,75,97,75,21,59,41,47,21,47,52,72,57
143,188,1413,宏洲,紡織纖維,55,55,75,35,51,49,35,57,75,73,79,63,49,61,83,63,19,35,31,37,71,81,85,67,51,45,55
144,189,1414,東和,紡織纖維,37,33,55,55,49,37,23,79,23,67,77,97,67,99,81,71,51,51,81,57,83,79,33,70,40,62,60
145,190,1417,嘉裕,紡織纖維,33,35,47,93,95,43,29,67,27,65,65,35,59,43,39,73,49,27,65,53,43,51,23,46,47,62,49
146,191,1418,東華,紡織纖維,89,73,43,81,41,65,73,91,63,55,43,81,89,75,65,51,23,83,45,49,91,91,81,74,71,50,69
147,192,1419,新紡,紡織纖維,69,71,79,47,91,67,75,75,97,49,81,91,71,77,95,69,47,73,73,51,87,85,97,82,68,67,73
148,193,1423,利華,紡織纖維,57,51,27,95,77,59,25,99,99,79,53,79,95,79,99,97,45,19,29,55,99,99,99,87,52,58,67
149,194,1434,福懋,紡織纖維,25,25,57,63,45,27,51,21,37,91,85,21,31,51,21,29,43,63,51,19,33,21,35,34,41,54,41
150,195,1440,南紡,紡織纖維,65,67,73,49,33,31,37,47,73,83,31,41,33,21,61,19,99,29,37,39,65,69,75,50,54,50,49
151,196,1441,大東,紡織纖維,77,75,67,51,53,79,79,55,85,47,87,45,47,31,73,85,41,45,85,41,77,71,77,63,71,59,63
152,197,1444,力麗,紡織纖維,43,37,53,77,61,33,39,53,83,21,61,27,43,63,85,53,39,53,33,63,27,35,69,55,47,43,49
153,198,1445,大宇,紡織纖維,39,39,41,85,57,83,83,65,25,23,73,31,57,39,47,81,53,91,75,65,45,49,31,48,62,63,58
154,199,1446,宏和,紡織纖維,41,41,61,83,43,77,85,81,19,25,47,85,97,89,91,55,37,31,27,67,93,93,29,72,65,36,60
155,200,1447,力鵬,紡織纖維,53,49,49,71,65,45,41,23,59,27,83,33,25,47,27,57,35,33,53,33,23,31,39,38,51,45,43
156,201,1449,佳和,紡織纖維,23,23,25,79,71,55,53,33,33,29,91,69,37,49,35,31,33,97,19,71,75,75,61,57,43,47,53
157,202,1451,年興,紡織纖維,59,59,65,57,59,57,59,49,91,31,27,43,27,27,69,59,31,89,49,73,49,55,95,55,59,53,56
158,203,1452,宏益,紡織纖維,87,89,87,31,75,25,19,77,77,33,93,89,63,69,77,47,29,55,43,75,97,97,93,82,56,47,65
159,204,1454,台富,紡織纖維,31,29,29,89,29,85,89,87,31,35,63,65,55,41,37,49,25,85,93,77,47,53,27,53,59,53,57
160,205,1455,集盛,紡織纖維,75,77,83,45,37,39,47,51,69,19,29,51,23,59,79,45,57,61,99,99,51,57,63,57,61,53,58
161,206,1457,宜進,紡織纖維,83,83,69,43,93,89,93,97,57,39,95,83,99,81,55,65,73,25,25,79,95,95,87,84,77,53,71
162,207,1459,聯發,紡織纖維,45,43,23,91,41,91,95,85,89,41,51,93,61,95,75,67,59,87,57,81,85,83,73,79,65,59,70
163,208,1460,宏遠,紡織纖維,47,45,45,67,27,21,31,29,41,43,97,37,41,53,31,39,91,79,39,83,21,27,65,48,43,53,48
164,209,1463,強盛新,紡織纖維,27,27,39,69,47,93,81,27,29,45,69,23,39,35,23,93,21,59,61,25,31,23,25,32,56,54,47
165,210,1464,得力,紡織纖維,29,31,35,75,69,29,27,93,21,85,49,49,53,93,25,87,89,99,83,85,29,39,19,50,38,85,57
166,211,1465,偉全,紡織纖維,21,21,21,97,67,97,77,25,35,77,71,25,35,37,29,79,87,43,67,23,55,25,37,36,56,70,51
167,212,1466,聚隆,紡織纖維,63,63,77,39,81,47,43,71,67,51,23,99,45,91,59,43,85,39,71,87,73,73,67,69,55,62,62
168,213,1467,南緯,紡織纖維,67,61,85,41,85,53,33,89,61,53,45,87,93,87,63,41,83,65,95,45,89,87,89,76,57,70,70
169,214,1468,昶和,紡織纖維,71,69,51,61,57,63,97,43,53,87,33,61,77,25,51,91,81,49,91,89,39,45,53,52,69,76,62
170,215,1470,大統新創,紡織纖維,61,65,63,59,79,95,87,39,43,57,75,53,85,23,45,37,79,93,89,91,35,41,47,52,72,72,64
171,216,1473,台南,紡織纖維,49,53,33,87,63,51,61,61,95,59,19,71,83,85,97,35,93,23,35,31,63,61,57,66,56,51,58
172,217,1474,弘裕,紡織纖維,51,57,59,65,39,61,55,73,81,61,25,75,65,83,71,33,75,67,59,93,59,63,71,69,58,56,63
